env_id,variant,seed,global_step,return_20k_window
HalfCheetah-v5,noclip,1,10000,-357.9
HalfCheetah-v5,noclip,1,20000,-247.2
HalfCheetah-v5,noclip,1,30000,-82.98
HalfCheetah-v5,noclip,1,40000,-116.4
HalfCheetah-v5,noclip,1,50000,-125.4
HalfCheetah-v5,noclip,1,60000,-21.72
HalfCheetah-v5,noclip,1,70000,20.06
HalfCheetah-v5,noclip,1,80000,51.01
HalfCheetah-v5,noclip,1,90000,67.77
HalfCheetah-v5,noclip,1,100000,93.02
HalfCheetah-v5,noclip,1,110000,162.8
HalfCheetah-v5,noclip,1,120000,174.2
HalfCheetah-v5,noclip,1,130000,144.2
HalfCheetah-v5,noclip,1,140000,185.2
HalfCheetah-v5,noclip,1,150000,237.9
HalfCheetah-v5,noclip,1,160000,287.5
HalfCheetah-v5,noclip,1,170000,288.1
HalfCheetah-v5,noclip,1,180000,202
HalfCheetah-v5,noclip,1,190000,200.1
HalfCheetah-v5,noclip,1,200000,260.3
HalfCheetah-v5,noclip,1,210000,229.1
HalfCheetah-v5,noclip,1,220000,235.9
HalfCheetah-v5,noclip,1,230000,308.1
HalfCheetah-v5,noclip,1,240000,192.3
HalfCheetah-v5,noclip,1,250000,-175.6
HalfCheetah-v5,noclip,1,260000,-225.2
HalfCheetah-v5,noclip,1,270000,15.31
HalfCheetah-v5,noclip,1,280000,40.41
HalfCheetah-v5,noclip,1,290000,-20.54
HalfCheetah-v5,noclip,1,300000,42.72
HalfCheetah-v5,noclip,1,310000,41.21
HalfCheetah-v5,noclip,1,320000,62.6
HalfCheetah-v5,noclip,1,330000,223.9
HalfCheetah-v5,noclip,1,340000,324.1
HalfCheetah-v5,noclip,1,350000,377
HalfCheetah-v5,noclip,1,360000,377.6
HalfCheetah-v5,noclip,1,370000,351.9
HalfCheetah-v5,noclip,1,380000,359
HalfCheetah-v5,noclip,1,390000,387.8
HalfCheetah-v5,noclip,1,400000,376.9
HalfCheetah-v5,noclip,1,410000,334.5
HalfCheetah-v5,noclip,1,420000,327
HalfCheetah-v5,noclip,1,430000,334.4
HalfCheetah-v5,noclip,1,440000,318.7
HalfCheetah-v5,noclip,1,450000,317.5
HalfCheetah-v5,noclip,1,460000,338.2
HalfCheetah-v5,noclip,1,470000,343.8
HalfCheetah-v5,noclip,1,480000,329.8
HalfCheetah-v5,noclip,1,490000,324.9
HalfCheetah-v5,noclip,1,500000,319.5
HalfCheetah-v5,noclip,1,510000,298.2
HalfCheetah-v5,noclip,1,520000,247.9
HalfCheetah-v5,noclip,1,530000,159.8
HalfCheetah-v5,noclip,1,540000,133.2
HalfCheetah-v5,noclip,1,550000,210.4
HalfCheetah-v5,noclip,1,560000,224.5
HalfCheetah-v5,noclip,1,570000,65.66
HalfCheetah-v5,noclip,1,580000,17.23
HalfCheetah-v5,noclip,1,590000,6.739
HalfCheetah-v5,noclip,1,600000,46.88
HalfCheetah-v5,noclip,1,610000,183.2
HalfCheetah-v5,noclip,1,620000,182.9
HalfCheetah-v5,noclip,1,630000,48.26
HalfCheetah-v5,noclip,1,640000,109.3
HalfCheetah-v5,noclip,1,650000,285.1
HalfCheetah-v5,noclip,1,660000,188
HalfCheetah-v5,noclip,1,670000,43.13
HalfCheetah-v5,noclip,1,680000,4.027
HalfCheetah-v5,noclip,1,690000,0.7924
HalfCheetah-v5,noclip,1,700000,-117.9
HalfCheetah-v5,noclip,1,710000,-98.22
HalfCheetah-v5,noclip,1,720000,-88.96
HalfCheetah-v5,noclip,1,730000,-142.5
HalfCheetah-v5,noclip,1,740000,-171.9
HalfCheetah-v5,noclip,1,750000,-171.7
HalfCheetah-v5,noclip,1,760000,-89.41
HalfCheetah-v5,noclip,1,770000,-135.6
HalfCheetah-v5,noclip,1,780000,-53.03
HalfCheetah-v5,noclip,1,790000,83.71
HalfCheetah-v5,noclip,1,800000,-84.42
HalfCheetah-v5,noclip,1,810000,-286.4
HalfCheetah-v5,noclip,1,820000,-287.6
HalfCheetah-v5,noclip,1,830000,-173.5
HalfCheetah-v5,noclip,1,840000,-3.446
HalfCheetah-v5,noclip,1,850000,42.77
HalfCheetah-v5,noclip,1,860000,-52.83
HalfCheetah-v5,noclip,1,870000,-141.8
HalfCheetah-v5,noclip,1,880000,-136
HalfCheetah-v5,noclip,1,890000,-137.8
HalfCheetah-v5,noclip,1,900000,-89.35
HalfCheetah-v5,noclip,1,910000,-42.74
HalfCheetah-v5,noclip,1,920000,-73.62
HalfCheetah-v5,noclip,1,930000,-116
HalfCheetah-v5,noclip,1,940000,-200.3
HalfCheetah-v5,noclip,1,950000,-162.9
HalfCheetah-v5,noclip,1,960000,-174
HalfCheetah-v5,noclip,1,970000,-210.1
HalfCheetah-v5,noclip,1,980000,-90.94
HalfCheetah-v5,noclip,1,990000,47.92
HalfCheetah-v5,noclip,1,1000000,-35.53
HalfCheetah-v5,noclip,2,10000,-325
HalfCheetah-v5,noclip,2,20000,-279.5
HalfCheetah-v5,noclip,2,30000,-249.9
HalfCheetah-v5,noclip,2,40000,-176.9
HalfCheetah-v5,noclip,2,50000,60.13
HalfCheetah-v5,noclip,2,60000,330.8
HalfCheetah-v5,noclip,2,70000,395.2
HalfCheetah-v5,noclip,2,80000,411
HalfCheetah-v5,noclip,2,90000,597.4
HalfCheetah-v5,noclip,2,100000,629
HalfCheetah-v5,noclip,2,110000,570.3
HalfCheetah-v5,noclip,2,120000,695
HalfCheetah-v5,noclip,2,130000,813.6
HalfCheetah-v5,noclip,2,140000,653.2
HalfCheetah-v5,noclip,2,150000,503.4
HalfCheetah-v5,noclip,2,160000,631.8
HalfCheetah-v5,noclip,2,170000,768.6
HalfCheetah-v5,noclip,2,180000,845.8
HalfCheetah-v5,noclip,2,190000,864.2
HalfCheetah-v5,noclip,2,200000,911.2
HalfCheetah-v5,noclip,2,210000,851.8
HalfCheetah-v5,noclip,2,220000,743.4
HalfCheetah-v5,noclip,2,230000,645.4
HalfCheetah-v5,noclip,2,240000,565.6
HalfCheetah-v5,noclip,2,250000,754.6
HalfCheetah-v5,noclip,2,260000,981.7
