env_id,variant,seed,episodes,last100_mean_return,wall_time_s,norm
HalfCheetah-v5,noclip,1,999,-111.648044987826,1178.1,0.04544879761254767
HalfCheetah-v5,noclip,2,999,64.34253087053513,1048.5,0.0910104383838706
HalfCheetah-v5,noclip,3,999,386.5630810760041,1150.0,0.17442909239983861
HalfCheetah-v5,clip0.1,1,999,1339.6628469496857,1124.0,0.42117406121519924
HalfCheetah-v5,clip0.1,2,999,1409.2296231010912,1088.7,0.43918398276452286
HalfCheetah-v5,clip0.1,3,999,1472.0913457881973,1139.6,0.45545805433549996
HalfCheetah-v5,clip0.2,1,999,1437.1845377059244,1123.4,0.44642114174764636
HalfCheetah-v5,clip0.2,2,999,3493.2689442968804,1158.5,0.978714298194894
HalfCheetah-v5,clip0.2,3,999,1470.4717821098893,1212.5,0.4550387706428508
HalfCheetah-v5,clip0.3,1,999,1479.0008583515341,1200.3,0.45724683608009214
HalfCheetah-v5,clip0.3,2,999,3575.489049956196,1137.1,1.0
HalfCheetah-v5,clip0.3,3,999,1460.4893642268873,1111.7,0.4524544542077446
Hopper-v5,noclip,1,8590,240.57752863939638,1285.2,0.08173002687958207
Hopper-v5,noclip,2,19713,20.374338928616798,1246.5,0.0007152176484524753
Hopper-v5,noclip,3,4746,1014.4565593113074,1167.8,0.3664473469156924
Hopper-v5,clip0.1,1,3373,2417.787933896339,1233.0,0.8827460606145691
Hopper-v5,clip0.1,2,3206,2648.2043283105995,1287.3,0.9675184032028573
Hopper-v5,clip0.1,3,3272,2288.0515690346965,1223.3,0.8350148408106641
Hopper-v5,clip0.2,1,2914,1377.9692549271433,1061.3,0.5001870612544852
Hopper-v5,clip0.2,2,2367,2718.173052348859,1104.6,0.9932605499789794
Hopper-v5,clip0.2,3,2923,2095.430284179872,1201.8,0.7641476718706279
Hopper-v5,clip0.3,1,2170,2620.0401180444915,1152.2,0.9571565273151781
Hopper-v5,clip0.3,2,2414,2736.4912883060806,1255.5,1.0
Hopper-v5,clip0.3,3,2585,1400.5850707295601,1114.9,0.5085076310211886
InvertedDoublePendulum-v5,noclip,1,28479,319.7731372172092,1056.6,0.04105561168532883
InvertedDoublePendulum-v5,noclip,2,23417,5554.554736313565,1025.4,0.8335562128958478
InvertedDoublePendulum-v5,noclip,3,59863,140.21020871682506,1150.8,0.013871339314492808
InvertedDoublePendulum-v5,clip0.1,1,5972,5497.671848036562,939.4,0.8249446362130884
InvertedDoublePendulum-v5,clip0.1,2,5497,5907.058979099284,920.0,0.8869223025881409
InvertedDoublePendulum-v5,clip0.1,3,6063,5763.251676157592,861.5,0.8651511222853316
InvertedDoublePendulum-v5,clip0.2,1,4805,6046.153937687756,1191.0,0.9079800747644902
InvertedDoublePendulum-v5,clip0.2,2,4685,6464.968896225988,924.7,0.9713850325749177
InvertedDoublePendulum-v5,clip0.2,3,4730,5799.495239692608,944.3,0.8706380839374607
InvertedDoublePendulum-v5,clip0.3,1,4569,5916.260422773987,1015.9,0.888315321476544
InvertedDoublePendulum-v5,clip0.3,2,4260,5775.865803473254,993.5,0.8670607919233418
InvertedDoublePendulum-v5,clip0.3,3,4182,6653.982134457931,808.2,1.0
