84 runs to go, 18 workers
[1/84] HalfCheetah-v5 clip=none seed=2 ok 17.5min
[2/84] HalfCheetah-v5 clip=0.1 seed=2 ok 18.2min
[3/84] HalfCheetah-v5 clip=0.3 seed=3 ok 18.6min
[4/84] HalfCheetah-v5 clip=0.1 seed=1 ok 18.8min
[5/84] HalfCheetah-v5 clip=0.2 seed=1 ok 18.8min
[6/84] HalfCheetah-v5 clip=0.3 seed=2 ok 19.0min
[7/84] HalfCheetah-v5 clip=0.1 seed=3 ok 19.1min
[8/84] HalfCheetah-v5 clip=none seed=3 ok 19.2min
[9/84] HalfCheetah-v5 clip=0.2 seed=2 ok 19.4min
[10/84] Hopper-v5 clip=none seed=3 ok 19.5min
[11/84] HalfCheetah-v5 clip=none seed=1 ok 19.7min
[12/84] HalfCheetah-v5 clip=0.3 seed=1 ok 20.1min
[13/84] HalfCheetah-v5 clip=0.2 seed=3 ok 20.3min
[14/84] Hopper-v5 clip=0.1 seed=3 ok 20.5min
[15/84] Hopper-v5 clip=0.1 seed=1 ok 20.6min
[16/84] Hopper-v5 clip=none seed=2 ok 20.8min
[17/84] Hopper-v5 clip=none seed=1 ok 21.5min
[18/84] Hopper-v5 clip=0.1 seed=2 ok 21.5min
[19/84] InvertedDoublePendulum-v5 clip=0.1 seed=3 ok 14.4min
[20/84] InvertedDoublePendulum-v5 clip=0.3 seed=3 ok 13.5min
[21/84] InvertedDoublePendulum-v5 clip=0.1 seed=2 ok 15.4min
[22/84] InvertedDoublePendulum-v5 clip=0.1 seed=1 ok 15.7min
[23/84] Hopper-v5 clip=0.2 seed=1 ok 17.8min
[24/84] InvertedDoublePendulum-v5 clip=0.2 seed=2 ok 15.5min
[25/84] InvertedDoublePendulum-v5 clip=none seed=2 ok 17.2min
[26/84] InvertedDoublePendulum-v5 clip=0.2 seed=3 ok 15.8min
[27/84] Hopper-v5 clip=0.2 seed=2 ok 18.5min
[28/84] InvertedDoublePendulum-v5 clip=none seed=1 ok 17.7min
[29/84] Hopper-v5 clip=0.3 seed=3 ok 18.6min
[30/84] InvertedDoublePendulum-v5 clip=0.3 seed=1 ok 17.0min
[31/84] Hopper-v5 clip=0.3 seed=1 ok 19.3min
[32/84] InvertedDoublePendulum-v5 clip=0.3 seed=2 ok 16.6min
[33/84] InvertedDoublePendulum-v5 clip=none seed=3 ok 19.2min
[34/84] Hopper-v5 clip=0.2 seed=3 ok 20.1min
[35/84] Hopper-v5 clip=0.3 seed=2 ok 21.0min
[36/84] InvertedDoublePendulum-v5 clip=0.2 seed=1 ok 19.9min
[37/84] InvertedPendulum-v5 clip=0.1 seed=2 ok 11.3min
[38/84] InvertedPendulum-v5 clip=0.1 seed=1 ok 12.9min
[39/84] InvertedPendulum-v5 clip=0.2 seed=1 ok 12.8min
[40/84] InvertedPendulum-v5 clip=none seed=1 ok 16.3min
[41/84] InvertedPendulum-v5 clip=none seed=2 ok 16.0min
[42/84] InvertedPendulum-v5 clip=0.3 seed=2 ok 14.0min
[43/84] InvertedPendulum-v5 clip=none seed=3 ok 16.9min
[44/84] InvertedPendulum-v5 clip=0.1 seed=3 ok 16.2min
[45/84] Reacher-v5 clip=none seed=3 ok 14.5min
[46/84] InvertedPendulum-v5 clip=0.3 seed=1 ok 16.5min
[47/84] InvertedPendulum-v5 clip=0.2 seed=2 ok 16.9min
[48/84] Reacher-v5 clip=none seed=2 ok 16.0min
[49/84] InvertedPendulum-v5 clip=0.3 seed=3 ok 16.3min
[50/84] Reacher-v5 clip=0.1 seed=2 ok 14.7min
[51/84] InvertedPendulum-v5 clip=0.2 seed=3 ok 17.9min
[52/84] Reacher-v5 clip=none seed=1 ok 18.0min
[53/84] Reacher-v5 clip=0.1 seed=1 ok 20.0min
[54/84] Reacher-v5 clip=0.1 seed=3 ok 18.5min
[55/84] Reacher-v5 clip=0.3 seed=1 ok 12.3min
[56/84] Reacher-v5 clip=0.2 seed=1 ok 17.6min
[57/84] Reacher-v5 clip=0.2 seed=3 ok 17.6min
[58/84] Swimmer-v5 clip=none seed=2 ok 15.6min
[59/84] Reacher-v5 clip=0.2 seed=2 ok 19.7min
[60/84] Swimmer-v5 clip=0.2 seed=1 ok 13.9min
[61/84] Reacher-v5 clip=0.3 seed=2 ok 18.4min
[62/84] Swimmer-v5 clip=0.1 seed=2 ok 16.1min
[63/84] Swimmer-v5 clip=none seed=1 ok 17.6min
[64/84] Reacher-v5 clip=0.3 seed=3 ok 18.1min
[65/84] Swimmer-v5 clip=0.2 seed=3 ok 15.9min
[66/84] Swimmer-v5 clip=0.1 seed=1 ok 17.8min
[67/84] Swimmer-v5 clip=none seed=3 ok 18.7min
[68/84] Swimmer-v5 clip=0.1 seed=3 ok 17.9min
[69/84] Swimmer-v5 clip=0.2 seed=2 ok 19.3min
[70/84] Swimmer-v5 clip=0.3 seed=2 ok 16.8min
[71/84] Swimmer-v5 clip=0.3 seed=1 ok 20.2min
[72/84] Swimmer-v5 clip=0.3 seed=3 ok 18.0min
[73/84] Walker2d-v5 clip=none seed=2 ok 15.7min
[74/84] Walker2d-v5 clip=0.1 seed=3 ok 12.6min
[75/84] Walker2d-v5 clip=none seed=3 ok 14.8min
[76/84] Walker2d-v5 clip=0.1 seed=2 ok 14.0min
[77/84] Walker2d-v5 clip=0.2 seed=1 ok 12.6min
[78/84] Walker2d-v5 clip=none seed=1 ok 19.3min
[79/84] Walker2d-v5 clip=0.3 seed=1 ok 13.2min
[80/84] Walker2d-v5 clip=0.1 seed=1 ok 15.7min
[81/84] Walker2d-v5 clip=0.2 seed=3 ok 14.2min
[82/84] Walker2d-v5 clip=0.3 seed=2 ok 13.6min
[83/84] Walker2d-v5 clip=0.2 seed=2 ok 14.7min
[84/84] Walker2d-v5 clip=0.3 seed=3 ok 14.6min
