global_step,return,length
50,-57.15025362898965,50
100,-63.971525267544735,50
150,-62.33706817777426,50
200,-57.7687026183669,50
250,-58.85767793106094,50
300,-58.0928478944861,50
350,-63.43635496285636,50
400,-58.0800757368748,50
450,-58.82633725647215,50
500,-60.48736646280959,50
550,-58.015681068639054,50
600,-64.11072229948097,50
650,-66.3918610201042,50
700,-61.25210013443822,50
750,-66.45949095909401,50
800,-65.74802005016359,50
850,-64.97351210456664,50
900,-58.47680049748161,50
950,-51.309403244313685,50
1000,-67.62493034703937,50
1050,-62.74259112637697,50
1100,-71.14852629584955,50
1150,-61.011245172890696,50
1200,-67.30079406408204,50
1250,-54.13186789686445,50
1300,-66.85922353192838,50
1350,-64.76234514798863,50
1400,-59.416114083522636,50
1450,-58.209306167883334,50
1500,-60.00689455473351,50
1550,-51.99521303921271,50
1600,-58.714136072515494,50
1650,-56.84006266099033,50
1700,-71.14117226574187,50
1750,-57.56638273768641,50
1800,-64.0336035076819,50
1850,-59.8366344515493,50
1900,-59.632110325326515,50
1950,-60.22859805067016,50
2000,-59.558342408580536,50
2050,-58.27854909707903,50
2100,-63.97850172069323,50
2150,-61.2125430209499,50
2200,-55.16026783795699,50
2250,-66.07728391015651,50
2300,-54.078983250258524,50
2350,-60.41706686890559,50
2400,-60.651577300674376,50
2450,-60.44370371173893,50
2500,-58.67897562114864,50
2550,-62.99926637470971,50
2600,-57.679467085612885,50
2650,-63.16634832633195,50
2700,-62.6011742133528,50
2750,-63.54425491319874,50
2800,-52.30450687983131,50
2850,-53.04599690357947,50
2900,-63.57984230385594,50
2950,-59.67201269488077,50
3000,-60.83075895372924,50
3050,-64.49647875550637,50
3100,-57.8866560060382,50
3150,-64.97291686945702,50
3200,-65.88391433530197,50
3250,-67.24683403746572,50
3300,-63.74220334450803,50
3350,-64.06702488545217,50
3400,-59.24445898361838,50
3450,-52.06577952768246,50
3500,-61.89104334062427,50
3550,-66.36582547751149,50
3600,-70.71287210569604,50
3650,-58.59006503411308,50
3700,-61.474160976953094,50
3750,-70.83735048745046,50
3800,-61.128484478082555,50
3850,-59.338920269445644,50
3900,-60.45569973601073,50
3950,-66.60546915015715,50
4000,-59.99804730020881,50
4050,-59.76631718835919,50
4100,-60.91689953156124,50
4150,-63.19361482768477,50
4200,-58.72010361737484,50
4250,-61.10478212360428,50
4300,-63.76811894046101,50
4350,-61.2000238220961,50
4400,-62.052876928498776,50
4450,-56.36812045501373,50
4500,-60.96993807668488,50
4550,-53.263241659310474,50
4600,-56.87232859320337,50
4650,-65.41680463235147,50
4700,-58.104309099431106,50
4750,-62.729792951557236,50
4800,-59.60322732967724,50
4850,-59.24541711218619,50
4900,-55.9930138416187,50
4950,-62.22921217165457,50
5000,-51.458600477572574,50
5050,-63.3117682471208,50
5100,-72.81624623586096,50
5150,-55.79688733824828,50
5200,-64.41230477208356,50
5250,-67.39837458310765,50
5300,-56.58290057217155,50
5350,-57.35211576802844,50
5400,-69.16636388793772,50
5450,-59.35948458439355,50
5500,-64.83128621427164,50
5550,-61.47010553195811,50
5600,-66.71951712107814,50
5650,-56.019905791821444,50
5700,-56.91993526309736,50
5750,-53.021941798955865,50
5800,-55.14387268299337,50
5850,-56.276384703792644,50
5900,-59.60768929124148,50
5950,-62.43914202809111,50
6000,-67.01380108704285,50
6050,-55.83825451656215,50
6100,-59.52384955443218,50
6150,-63.142785201513526,50
6200,-54.261844216594355,50
6250,-55.14645955770881,50
6300,-59.4709211837741,50
6350,-61.02553069356939,50
6400,-56.14105541457396,50
6450,-54.359101376176454,50
6500,-67.13337626434578,50
6550,-51.54384107802201,50
6600,-59.97564860620397,50
6650,-50.408200275805825,50
6700,-60.65372132713047,50
6750,-55.57079343366931,50
6800,-52.85130931292785,50
6850,-64.39333002862367,50
6900,-52.5858004799207,50
6950,-61.36049510889551,50
7000,-51.43140216181825,50
7050,-54.655213311015466,50
7100,-60.328408381133464,50
7150,-58.27247444467511,50
7200,-54.6901455988658,50
7250,-56.1805083401773,50
7300,-66.83510129428349,50
7350,-61.39068558426151,50
7400,-57.38204574936925,50
7450,-49.88492638623542,50
7500,-52.58539722813451,50
7550,-54.38312807784732,50
7600,-62.88156265343614,50
7650,-54.022769522861836,50
7700,-61.924786788331645,50
7750,-53.977409100592595,50
7800,-57.184906106206896,50
7850,-56.9736047907637,50
7900,-55.10798701392211,50
