global_step,return,length
50,-57.15025362898965,50
100,-63.971525267544735,50
150,-62.33706817777426,50
200,-57.7687026183669,50
250,-58.85767793106094,50
300,-58.0928478944861,50
350,-63.43635496285636,50
400,-58.0800757368748,50
450,-58.82633725647215,50
500,-60.48736646280959,50
550,-58.015681068639054,50
600,-64.11072229948097,50
650,-66.3918610201042,50
700,-61.25210013443822,50
750,-66.45949095909401,50
800,-65.74802005016359,50
850,-64.97351210456664,50
900,-58.47680049748161,50
950,-51.309403244313685,50
1000,-67.62493034703937,50
1050,-62.74259112637697,50
1100,-71.14852629584955,50
1150,-61.011245172890696,50
1200,-67.30079406408204,50
1250,-54.13186789686445,50
1300,-66.85922353192838,50
1350,-64.76234514798863,50
1400,-59.416114083522636,50
1450,-58.209306167883334,50
1500,-60.00689455473351,50
1550,-51.99521303921271,50
1600,-58.714136072515494,50
1650,-56.84006266099033,50
1700,-71.14117226574187,50
1750,-57.56638273768641,50
1800,-64.0336035076819,50
1850,-59.8366344515493,50
1900,-59.632110325326515,50
1950,-60.22859805067016,50
2000,-59.558342408580536,50
2050,-57.48794529628878,50
2100,-64.69956806114826,50
2150,-62.495586230734325,50
2200,-59.74055557127782,50
2250,-67.83944385652723,50
2300,-53.122267245177376,50
2350,-62.65418109772883,50
2400,-59.92552842814333,50
2450,-61.620361127907465,50
2500,-61.225445624052306,50
2550,-61.471604316422855,50
2600,-58.13519464252213,50
2650,-61.35996575892202,50
2700,-64.41012232036508,50
2750,-66.67941926255618,50
2800,-56.2994631239919,50
2850,-51.9663918352917,50
2900,-64.19993616390175,50
2950,-60.60939301088246,50
3000,-62.93914800086292,50
3050,-64.7599788669762,50
3100,-58.70470214927969,50
3150,-67.152607921689,50
3200,-62.33439713352403,50
3250,-66.73590192045931,50
3300,-65.76266276853896,50
3350,-64.39320194898052,50
3400,-58.37722337362055,50
3450,-49.937035263483025,50
3500,-61.24706407868033,50
3550,-62.58217202857643,50
3600,-70.6559734397526,50
3650,-57.42414775316699,50
3700,-60.04464923048802,50
3750,-70.02630743480246,50
3800,-62.65483899346553,50
3850,-58.577332299990495,50
3900,-61.608929389674636,50
3950,-63.445612393367696,50
4000,-60.64125583761231,50
4050,-59.74928796357966,50
4100,-61.19680072393825,50
4150,-76.81194496286767,50
4200,-57.70060369009373,50
4250,-70.85884359045886,50
4300,-65.095435798858,50
4350,-62.104279836098684,50
4400,-67.66072651366487,50
4450,-65.0246047721498,50
4500,-69.29655469032205,50
4550,-65.32413736292374,50
4600,-62.5632423373446,50
4650,-70.4153596195592,50
4700,-65.24575764425815,50
4750,-65.19335113287097,50
4800,-66.678938525138,50
4850,-62.420784570273604,50
4900,-68.50861032154786,50
4950,-64.25922470357551,50
5000,-62.93305247403729,50
5050,-64.59823745199081,50
5100,-73.51616617112089,50
5150,-60.91202116955867,50
5200,-63.946399276569714,50
5250,-71.98786064775882,50
5300,-59.971455715279234,50
5350,-54.880450801465,50
5400,-59.63249894489297,50
5450,-56.19118211149937,50
5500,-62.807495959614094,50
5550,-67.916088366951,50
5600,-66.52370953749,50
5650,-67.96321454266344,50
5700,-56.88834376132071,50
5750,-64.98497837256446,50
5800,-59.45874658837436,50
5850,-61.589345060695145,50
5900,-63.35624210756377,50
5950,-67.75406031833671,50
6000,-73.04265801913104,50
6050,-65.17611953551454,50
6100,-60.735546154184256,50
6150,-65.05656095528335,50
6200,-56.975310891613184,50
6250,-62.29133147889366,50
6300,-66.71931762228603,50
6350,-62.89413133048909,50
6400,-58.60862830089421,50
6450,-59.611022596653406,50
6500,-67.79357939433704,50
6550,-55.40771946507612,50
6600,-63.88350389401416,50
6650,-59.168164234715114,50
6700,-59.40843393615176,50
6750,-58.86520594844624,50
6800,-54.51628649716988,50
6850,-65.79633576803067,50
6900,-57.52846212796906,50
6950,-71.66489390052635,50
7000,-56.98620798476738,50
7050,-58.772934400454794,50
7100,-64.6680153659932,50
7150,-58.73538543520988,50
7200,-58.94029194837744,50
7250,-56.15062026216293,50
7300,-68.60586776917307,50
7350,-61.48135019630318,50
7400,-56.750932025636374,50
7450,-53.60701713870962,50
7500,-56.087524079062995,50
7550,-58.54188994101283,50
7600,-62.248069632817504,50
7650,-60.289584508500276,50
7700,-65.27565039275275,50
7750,-57.40796995498809,50
7800,-62.4441329557995,50
7850,-57.89070088151889,50
7900,-55.72357106413896,50
7950,-58.16176995839619,50
