global_step,return,length
15,-3.181916311319881,15
35,4.90538533859215,20
61,-10.221110829629428,26
70,-2.0442279488099557,9
86,-4.476937093335868,16
94,-3.9435228884015814,8
148,-9.12415326829965,54
159,-3.328502677798048,11
169,-3.4143095717411143,10
192,-3.8176134065448277,23
202,-2.512312291936328,10
219,-5.510785148594979,17
233,-2.461199239726991,14
246,-3.5626556278190016,13
258,-5.181850670487879,12
274,1.121801647586823,16
292,1.3153507210574311,18
317,5.633282314646648,25
328,-5.189599289440555,11
341,-3.9559870417298755,13
357,-9.595834887933627,16
377,-3.262143161028619,20
400,-4.213151946492613,23
416,-9.519925957227738,16
431,-4.205887735498789,15
448,-1.4366694535593907,17
471,5.086000112527031,23
482,-3.2795694886219593,11
504,5.023330506120039,22
526,3.337183074158356,22
534,-3.846923922370251,8
545,0.7168265268376772,11
587,25.503454354240553,42
605,3.0315898335691838,18
622,5.810385857119561,17
635,-8.106666345260935,13
655,-1.0459128483083278,20
671,1.5393701676399967,16
724,34.324847290081195,53
742,-6.072922469930956,18
754,-1.1987910975070957,12
773,-6.706614139172797,19
784,-5.211487256393653,11
808,-3.7198107255927546,24
826,-6.440651644188254,18
847,1.6497890764155996,21
862,-10.347665595433705,15
891,3.27229852480652,29
908,-0.4976466152688974,17
922,-6.849633974232448,14
939,-1.2500368415261538,17
950,-2.519873395303934,11
965,3.9032732932477474,15
974,-6.653663335619461,9
985,-3.453035707215972,11
996,-1.9714895558652903,11
1009,-3.4517122212326994,13
1029,-8.878655133204422,20
1061,-4.575882927839164,32
1082,-3.3529491070361366,21
1093,-2.0972994875032676,11
1127,19.691246461491694,34
1140,-0.5084887926455488,13
1148,-4.462551832599548,8
1159,-3.2637450796009757,11
1176,-5.092295675724082,17
1192,1.45627942293601,16
1210,1.4344894461030278,18
1227,-10.77102129516846,17
1239,-0.2582186652390692,12
1262,-2.7103952138430767,23
1273,-7.491877213621057,11
1283,-2.145967092114421,10
1296,1.2846963048459583,13
1317,-5.617977011662434,21
1331,-1.8114176773482444,14
1343,-1.3587117391966166,12
1357,-4.04284415624687,14
1377,-2.919570423140069,20
1414,11.25049696791061,37
1441,-0.07736441249650816,27
1469,10.865453196328328,28
1485,-1.233690811563936,16
1501,-7.794321637404784,16
1526,0.9478799372828047,25
1557,-2.5478745707689514,31
1568,-1.6804110643616257,11
1588,-11.239324278697003,20
1607,-8.77312607067503,19
1625,-2.13714156821685,18
1653,5.4859646879720865,28
1672,6.545724200099161,19
1684,-6.40023283892614,12
1710,2.823659298653392,26
1749,2.5613721900633397,39
1764,-7.328157865636912,15
1788,-2.459535952049815,24
1801,1.2757144283113855,13
1813,-1.985878234788966,12
1823,-4.724974042254263,10
1834,-5.514450116922978,11
1847,-3.111707254662253,13
1873,4.434347696630903,26
1892,-9.31887503255056,19
1919,6.207444184783244,27
1935,-1.7441106035818104,16
1957,2.897656155778529,22
1969,-2.828464375923765,12
2014,7.140506486290046,45
2030,-7.055722410481041,16
2055,-1.0478330367756095,25
2107,29.84190335259921,52
2123,-7.968768446815566,16
2144,1.4892438183602184,21
2159,-0.38778909613241275,15
2178,4.9851767241385305,19
2220,5.349438699662066,42
2240,-4.3652162603345355,20
2255,2.1252834202445228,15
2273,5.368561917520971,18
2298,0.019837751312334673,25
2341,16.340369129558002,43
2371,7.5419420317690005,30
2386,-1.9622907564671963,15
2425,19.853917266653237,39
2461,2.4601073172677586,36
2483,-1.2085481443233572,22
2494,-1.946950414790175,11
2512,-7.627508943993922,18
2534,-4.252449179913503,22
2553,-0.2666052187402401,19
2572,-0.5789240443244046,19
2610,25.65375049146774,38
2630,5.788690663047652,20
2681,14.173521073888551,51
2706,8.827015867336986,25
2721,-0.6047242993400812,15
2737,1.7474422199533959,16
2757,0.9961285486141733,20
2772,-5.617197421037584,15
2807,13.068435411785948,35
2825,-1.9489079737813055,18
2842,1.2526323514335787,17
2883,11.887283239361484,41
2914,8.467027350222818,31
2959,26.32162666811467,45
3005,5.365164368510872,46
3037,7.428776308129313,32
3071,6.526796279719476,34
3096,7.672552143069739,25
3109,-7.139555536460177,13
3124,0.6986380276150879,15
3137,-1.524937997300809,13
3168,3.0718316202878686,31
3177,-1.7828123242889802,9
3199,1.695702571693657,22
3215,3.5734469242581874,16
3234,2.979165537501184,19
3289,31.91637702032325,55
3306,0.36412601912824805,17
3320,1.0526694400893954,14
3347,0.6471533032852906,27
3377,8.695822244144178,30
3387,-3.003385001690044,10
3405,0.22672976789752575,18
3430,4.050543462510353,25
3468,7.856714866785278,38
3481,-4.485502897134564,13
3512,11.21742915116035,31
3530,0.38144458335398457,18
3569,10.203319888842568,39
3593,-0.9412346817983841,24
3614,5.243069902867574,21
3650,13.072492692472773,36
3673,-3.180746351420268,23
3723,36.53072461899125,50
3739,-0.9177200976206892,16
3759,6.02419034544681,20
3775,-1.4191748030073084,16
3817,3.9001837409221425,42
3832,-2.1317908811148287,15
3859,-1.0878355406987492,27
3909,-5.98580329201368,50
3927,-1.4312433497479629,18
3979,23.289642992519166,52
4019,7.214509698556111,40
4042,2.3080911154829344,23
4078,10.964749426556306,36
4096,3.981871197994842,18
4152,16.05462183906671,56
4176,-3.139200138597391,24
4186,-5.697124501178929,10
4236,19.31260169093312,50
4267,14.156684387406134,31
4325,42.76482331717466,58
4357,11.07673331497614,32
4416,30.109832932084952,59
4478,25.975125797875176,62
4495,1.161228320579875,17
4530,10.276364533290899,35
4541,-2.522428780842837,11
4564,-6.560650670037242,23
4574,-1.2658598800318164,10
4599,4.825941765408883,25
4649,3.9822249947260513,50
4694,4.563645894015981,45
4734,17.515713550943694,40
4776,18.055131597709206,42
4800,10.891193842871509,24
4824,5.350882834651317,24
4858,6.354459080110519,34
4874,1.5689174636274816,16
4913,27.97003989967261,39
4931,2.7318282585959057,18
4962,0.3776323305464333,31
4987,9.602998736078224,25
5002,0.8308583790927055,15
