global_step,return,length
15,-3.181916311319881,15
35,4.90538533859215,20
61,-10.221110829629428,26
70,-2.0442279488099557,9
86,-4.476937093335868,16
94,-3.9435228884015814,8
148,-9.12415326829965,54
159,-3.328502677798048,11
169,-3.4143095717411143,10
192,-3.8176134065448277,23
202,-2.512312291936328,10
219,-5.510785148594979,17
233,-2.461199239726991,14
246,-3.5626556278190016,13
258,-5.181850670487879,12
274,1.121801647586823,16
292,1.3153507210574311,18
317,5.633282314646648,25
328,-5.189599289440555,11
341,-3.9559870417298755,13
357,-9.595834887933627,16
377,-3.262143161028619,20
400,-4.213151946492613,23
416,-9.519925957227738,16
431,-4.205887735498789,15
448,-1.4366694535593907,17
471,5.086000112527031,23
482,-3.2795694886219593,11
504,5.023330506120039,22
526,3.337183074158356,22
534,-3.846923922370251,8
545,0.7168265268376772,11
587,25.503454354240553,42
605,3.0315898335691838,18
622,5.810385857119561,17
635,-8.106666345260935,13
655,-1.0459128483083278,20
671,1.5393701676399967,16
724,34.324847290081195,53
742,-6.072922469930956,18
754,-1.1987910975070957,12
773,-6.706614139172797,19
784,-5.211487256393653,11
808,-3.7198107255927546,24
826,-6.440651644188254,18
847,1.6497890764155996,21
862,-10.347665595433705,15
891,3.27229852480652,29
908,-0.4976466152688974,17
922,-6.849633974232448,14
939,-1.2500368415261538,17
950,-2.519873395303934,11
965,3.9032732932477474,15
974,-6.653663335619461,9
985,-3.453035707215972,11
996,-1.9714895558652903,11
1009,-3.4517122212326994,13
1029,-8.878655133204422,20
1061,-4.575882927839164,32
1082,-3.3529491070361366,21
1093,-2.0972994875032676,11
1127,19.691246461491694,34
1140,-0.5084887926455488,13
1148,-4.462551832599548,8
1159,-3.2637450796009757,11
1176,-5.092295675724082,17
1192,1.45627942293601,16
1210,1.4344894461030278,18
1227,-10.77102129516846,17
1239,-0.2582186652390692,12
1262,-2.7103952138430767,23
1273,-7.491877213621057,11
1283,-2.145967092114421,10
1296,1.2846963048459583,13
1317,-5.617977011662434,21
1331,-1.8114176773482444,14
1343,-1.3587117391966166,12
1357,-4.04284415624687,14
1377,-2.919570423140069,20
1414,11.25049696791061,37
1441,-0.07736441249650816,27
1469,10.865453196328328,28
1485,-1.233690811563936,16
1501,-7.794321637404784,16
1526,0.9478799372828047,25
1557,-2.5478745707689514,31
1568,-1.6804110643616257,11
1588,-11.239324278697003,20
1607,-8.77312607067503,19
1625,-2.13714156821685,18
1653,5.4859646879720865,28
1672,6.545724200099161,19
1684,-6.40023283892614,12
1710,2.823659298653392,26
1749,2.5613721900633397,39
1764,-7.328157865636912,15
1788,-2.459535952049815,24
1801,1.2757144283113855,13
1813,-1.985878234788966,12
1823,-4.724974042254263,10
1834,-5.514450116922978,11
1847,-3.111707254662253,13
1873,4.434347696630903,26
1892,-9.31887503255056,19
1919,6.207444184783244,27
1935,-1.7441106035818104,16
1957,2.897656155778529,22
1969,-2.828464375923765,12
2014,7.140506486290046,45
2030,-7.055722410481041,16
2054,-1.9392310128817034,24
2205,88.62897799282774,151
2241,12.829050769707484,36
2516,317.2631053832457,275
2609,52.99945270940656,93
2744,164.32026253582163,135
2763,-0.1469413435473963,19
2838,56.50178440922068,75
3009,201.50424144685434,171
3094,52.61914527670114,85
3116,4.845081687315914,22
3178,28.451143480613613,62
3202,9.507295685435102,24
3284,68.44650190229527,82
3377,51.8831281683174,93
3399,6.642848769411343,22
3475,21.967819582471446,76
3551,53.83668534121693,76
3576,2.0136135267497166,25
3647,26.36571108186412,71
3674,4.942983745677104,27
3794,151.60819113540742,120
3864,54.05455650187577,70
3932,38.59343916190542,68
4027,87.5877337022658,95
4050,7.062040377496342,23
4172,207.11358148446297,122
4272,71.38401211981223,100
4485,312.3399115566405,213
4836,477.09129795479606,351
5004,269.7626381946485,168
5243,335.1297747317513,239
5388,119.92223369299664,145
5570,303.1770857473784,182
5748,295.92837811215253,178
5885,129.3247102603904,137
6128,355.33948786036626,243
6384,375.85323434394115,256
6605,165.3202351165902,221
7117,631.9886141393953,512
7276,93.01934551654564,159
7456,120.32875657457453,180
7617,94.70914299623814,161
7820,322.32062894462297,203
7960,83.76170349891437,140
8085,74.62870367376004,125
8296,325.36194024623717,211
8309,-1.5266927934665095,13
8348,15.084173521876515,39
8371,-0.6284545557748626,23
8386,-4.377923719235603,15
8397,-6.3729022589982245,11
8414,0.837940472099223,17
8433,-0.5017828188663143,19
8458,2.6840221021850774,25
8479,3.1528148254989596,21
8493,-0.5338181465574006,14
8503,-4.411754405195838,10
8524,-0.6977613273743475,21
8541,-0.5593667198604222,17
8563,4.976522822758523,22
8579,-2.0401325966790798,16
8607,8.850371358572753,28
8622,-0.7970250485700765,15
8640,0.6611570628653829,18
8655,0.24903849626831054,15
8673,-1.617330924201159,18
8696,3.5189150096674218,23
8714,2.883451106688506,18
8737,-3.1808324750981427,23
8752,-0.9380466929636389,15
8773,-1.937893628804741,21
8818,31.273767999517947,45
8836,-4.102919847773476,18
8850,-0.633739006001182,14
8867,-3.6575689820902095,17
8887,-0.642096157245934,20
8908,-3.3349643977656256,21
8926,1.619774740427811,18
8944,0.7499635116993133,18
8954,-1.461102386900749,10
8973,2.8776913935346045,19
9002,16.38403665286824,29
9032,12.984205330508248,30
9076,30.07666163825966,44
9091,-1.8483781815206781,15
9117,2.7258839055134447,26
9168,33.85418345234739,51
9186,-0.9386524445429707,18
9201,-5.921156028458592,15
9214,-5.453083799143988,13
9237,2.6905838493520196,23
9247,-3.244121953897606,10
9266,2.926663344888554,19
9283,-6.669733290934694,17
9312,6.350118813599318,29
9323,-4.400245675612563,11
9341,1.1506200003762612,18
9359,3.9128386131217705,18
9376,-3.6100226742646004,17
9397,-2.214001067302786,21
9419,3.163144209172869,22
9445,13.852534063871106,26
9461,-4.190201289462641,16
9480,-1.6976357108717863,19
9497,-2.7407511337708246,17
9519,-0.18318613387132654,22
